,eventId,time,personCountryId
0,222,469,Poland
1,222,497,Sweden
2,222,592,Hungary
3,222,623,Netherlands
4,222,628,Poland
5,222,648,Belgium
6,222,648,Poland
7,222,659,USA
8,222,662,Finland
9,222,693,Netherlands
10,222,710,Netherlands
11,222,724,Sweden
12,222,729,Czech Republic
13,222,730,Czech Republic
14,222,755,Poland
15,222,756,Spain
16,222,767,USA
17,222,768,France
18,222,769,USA
19,222,781,USA
20,222,787,USA
21,222,789,Sweden
22,222,789,Belgium
23,222,795,Japan
24,222,806,Sweden
25,222,806,India
26,222,807,USA
27,222,809,Denmark
28,222,826,USA
29,222,840,Taiwan
30,222,842,Japan
31,222,850,Belgium
32,222,851,Japan
33,222,856,Sweden
34,222,859,USA
35,222,860,Hungary
36,222,866,USA
37,222,884,USA
38,222,899,Netherlands
39,222,919,USA
40,222,920,Japan
41,222,933,Japan
42,222,941,Sweden
43,222,941,Japan
44,222,946,Japan
45,222,947,Poland
46,222,958,Sweden
47,222,964,France
48,222,966,Korea
49,222,988,Belgium
50,222,989,USA
51,222,1003,Sweden
52,222,1009,USA
53,222,1014,USA
54,222,1031,Sweden
55,222,1035,Canada
56,222,1043,Poland
57,222,1061,Taiwan
58,222,1061,USA
59,222,1064,Japan
60,222,1073,Japan
61,222,1074,Netherlands
62,222,1084,Korea
63,222,1091,Poland
64,222,1094,Korea
65,222,1100,Hungary
66,222,1101,USA
67,222,1110,USA
68,222,1119,USA
69,222,1123,Spain
70,222,1123,Poland
71,222,1126,Netherlands
72,222,1149,USA
73,222,1156,Spain
74,222,1159,Poland
75,222,1161,USA
76,222,1161,USA
77,222,1177,Korea
78,222,1178,Japan
79,222,1185,Spain
80,222,1205,Japan
81,222,1216,Belgium
82,222,1222,USA
83,222,1225,USA
84,222,1229,USA
85,222,1235,Japan
86,222,1260,Taiwan
87,222,1265,USA
88,222,1280,Taiwan
89,222,1286,USA
90,222,1290,Japan
91,222,1324,USA
92,222,1326,Sweden
93,222,1340,Spain
94,222,1346,USA
95,222,1361,Poland
96,222,1381,USA
97,222,1387,Sweden
98,222,1389,USA
99,222,1399,Switzerland
100,222,1400,Japan
101,222,1404,Sweden
102,222,1423,USA
103,222,1433,Belgium
104,222,1486,Japan
105,222,1487,Japan
106,222,1512,Japan
107,222,1520,Japan
108,222,1526,Japan
109,222,1549,Belgium
110,222,1573,Taiwan
111,222,1584,Sweden
112,222,1610,Sweden
113,222,1615,USA
114,222,1653,Poland
115,222,1660,Canada
116,222,1693,USA
117,222,1696,USA
118,222,1697,USA
119,222,1722,Sweden
120,222,1732,Taiwan
121,222,1756,USA
122,222,1772,Japan
123,222,1776,USA
124,222,1792,Belgium
125,222,1810,USA
126,222,1839,Japan
127,222,1855,USA
128,222,1861,Japan
129,222,1869,USA
130,222,1874,Japan
131,222,1877,Sweden
132,222,1878,Australia
133,222,1897,USA
134,222,1941,Spain
135,222,1945,USA
136,222,1980,USA
137,222,1993,Taiwan
138,222,1995,USA
139,222,2017,Belgium
140,222,2065,United Kingdom
141,222,2252,Japan
142,222,2290,USA
143,222,2374,Spain
144,222,2473,Japan
145,222,2473,Japan
146,222,2479,USA
147,222,2486,USA
148,222,2535,Japan
149,222,2588,Japan
150,222,2605,USA
151,222,2621,Sweden
152,222,2721,Spain
153,222,2810,Japan
154,222,2839,USA
155,222,3002,USA
156,222,3044,Japan
157,222,3052,Taiwan
158,222,3184,Spain
159,222,3280,USA
160,222,3293,USA
161,222,3359,Sweden
162,222,4006,USA
163,222,4219,Spain
164,222,4451,USA
165,222,4669,USA
166,222,5020,USA
167,222,5334,USA
168,333,1322,Finland
169,333,1334,Japan
170,333,1358,France
171,333,1377,USA
172,333,1388,Netherlands
173,333,1413,Netherlands
174,333,1441,USA
175,333,1451,Belgium
176,333,1470,France
177,333,1481,Canada
178,333,1486,USA
179,333,1491,USA
180,333,1502,Korea
181,333,1505,USA
182,333,1509,USA
183,333,1515,USA
184,333,1525,USA
185,333,1526,USA
186,333,1538,France
187,333,1551,Poland
188,333,1566,India
189,333,1582,Japan
190,333,1585,Japan
191,333,1586,USA
192,333,1587,United Kingdom
193,333,1594,USA
194,333,1596,USA
195,333,1606,Japan
196,333,1614,France
197,333,1624,Germany
198,333,1629,USA
199,333,1630,Japan
200,333,1640,France
201,333,1646,USA
202,333,1646,Portugal
203,333,1654,Canada
204,333,1658,Germany
205,333,1662,Belgium
206,333,1669,USA
207,333,1670,Poland
208,333,1675,USA
209,333,1689,Japan
210,333,1691,Belgium
211,333,1698,Japan
212,333,1703,USA
213,333,1707,France
214,333,1716,Taiwan
215,333,1721,USA
216,333,1724,Sweden
217,333,1725,Canada
218,333,1737,Netherlands
219,333,1741,USA
220,333,1755,Japan
221,333,1771,Japan
222,333,1776,Hungary
223,333,1782,Japan
224,333,1783,Spain
225,333,1801,Japan
226,333,1807,Japan
227,333,1815,Poland
228,333,1816,Netherlands
229,333,1817,United Kingdom
230,333,1819,Taiwan
231,333,1820,Poland
232,333,1820,Netherlands
233,333,1829,Japan
234,333,1830,Japan
235,333,1833,USA
236,333,1841,USA
237,333,1846,USA
238,333,1851,USA
239,333,1854,USA
240,333,1864,Netherlands
241,333,1867,USA
242,333,1882,Poland
243,333,1892,Taiwan
244,333,1895,USA
245,333,1898,USA
246,333,1904,Israel
247,333,1905,USA
248,333,1907,Netherlands
249,333,1910,USA
250,333,1913,Netherlands
251,333,1920,USA
252,333,1937,USA
253,333,1946,USA
254,333,1946,USA
255,333,1948,Japan
256,333,1968,Sweden
257,333,1969,France
258,333,1969,Sweden
259,333,1977,USA
260,333,1984,Korea
261,333,1985,France
262,333,1987,Japan
263,333,1989,USA
264,333,1990,USA
265,333,2006,Germany
266,333,2008,Japan
267,333,2009,USA
268,333,2013,France
269,333,2027,USA
270,333,2027,USA
271,333,2027,Sweden
272,333,2036,USA
273,333,2036,Sweden
274,333,2036,USA
275,333,2037,Japan
276,333,2041,USA
277,333,2044,Korea
278,333,2047,France
279,333,2055,Poland
280,333,2060,Japan
281,333,2069,Japan
282,333,2078,Japan
283,333,2087,USA
284,333,2088,Korea
285,333,2095,Korea
286,333,2098,Korea
287,333,2101,France
288,333,2101,Japan
289,333,2104,Sweden
290,333,2104,Japan
291,333,2108,Japan
292,333,2125,USA
293,333,2133,France
294,333,2139,Taiwan
295,333,2141,Japan
296,333,2149,Spain
297,333,2151,France
298,333,2154,Poland
299,333,2156,France
300,333,2183,USA
301,333,2184,Sweden
302,333,2191,Netherlands
303,333,2193,Japan
304,333,2203,France
305,333,2206,Hungary
306,333,2210,Taiwan
307,333,2220,Japan
308,333,2222,Netherlands
309,333,2226,Poland
310,333,2226,Germany
311,333,2238,USA
312,333,2238,USA
313,333,2242,Japan
314,333,2256,Hungary
315,333,2262,USA
316,333,2276,USA
317,333,2278,USA
318,333,2281,Taiwan
319,333,2284,USA
320,333,2288,USA
321,333,2292,USA
322,333,2296,USA
323,333,2298,Japan
324,333,2305,Denmark
325,333,2309,USA
326,333,2311,USA
327,333,2317,Japan
328,333,2317,Korea
329,333,2329,Canada
330,333,2347,USA
331,333,2367,France
332,333,2368,Japan
333,333,2371,Sweden
334,333,2372,USA
335,333,2377,USA
336,333,2386,Japan
