eventId,year,best,average
222,2004,844.0,1087.0
222,2005,394.0,629.0
222,2006,355.0,469.0
222,2007,265.0,391.0
222,2008,96.0,328.0
222,2009,103.0,245.0
222,2010,96.0,212.0
222,2011,69.0,227.0
222,2012,88.0,216.0
222,2013,93.0,171.0
222,2014,75.0,160.0
222,2015,58.0,151.0
222,2016,49.0,153.0
222,2017,61.0,142.0
222,2018,54.0,121.0
222,2019,51.0,123.0
222,2020,69.0,139.0
222,2021,89.0,127.0
333,2003,1653.0,2000.0
333,2004,1211.0,1452.0
333,2005,1175.0,1459.0
333,2006,1048.0,1322.0
333,2007,955.0,1176.0
333,2008,708.0,1128.0
333,2009,788.0,1007.0
333,2010,677.0,791.0
333,2011,566.0,764.0
333,2012,609.0,753.0
333,2013,555.0,654.0
333,2014,566.0,677.0
333,2015,490.0,657.0
333,2016,473.0,645.0
333,2017,459.0,580.0
333,2018,347.0,591.0
333,2019,424.0,553.0
333,2020,416.0,559.0
333,2021,442.0,569.0
333bf,2003,23600.0,
333bf,2004,19054.0,
333bf,2005,10647.0,14146.0
333bf,2006,8882.0,10379.0
333bf,2007,7027.0,9574.0
333bf,2008,4805.0,6605.0
333bf,2009,3596.0,4935.0
333bf,2010,3090.0,3302.0
333bf,2011,3058.0,3716.0
333bf,2012,2636.0,2963.0
333bf,2013,2380.0,2887.0
333bf,2014,2117.0,2751.0
333bf,2015,2105.0,2545.0
333bf,2016,1850.0,2438.0
333bf,2017,1787.0,2236.0
333bf,2018,1655.0,2029.0
333bf,2019,1550.0,1818.0
333bf,2020,1692.0,1836.0
333bf,2021,1718.0,1947.0
333fm,2003,29.0,
333fm,2004,31.0,
333fm,2005,28.0,
333fm,2006,28.0,
333fm,2007,31.0,
333fm,2008,27.0,
333fm,2009,22.0,4067.0
333fm,2010,22.0,3567.0
333fm,2011,25.0,3067.0
333fm,2012,20.0,2967.0
333fm,2013,21.0,2567.0
333fm,2014,21.0,2500.0
333fm,2015,19.0,2500.0
333fm,2016,19.0,2433.0
333fm,2017,20.0,2400.0
333fm,2018,18.0,2400.0
333fm,2019,16.0,2200.0
333fm,2020,18.0,2100.0
333fm,2021,24.0,2500.0
333ft,2004,34432.0,
333ft,2005,11497.0,26510.0
333ft,2006,7815.0,8814.0
333ft,2007,3988.0,5246.0
333ft,2008,3694.0,4721.0
333ft,2009,3672.0,4208.0
333ft,2010,4278.0,4803.0
333ft,2011,3156.0,3515.0
333ft,2012,2793.0,3789.0
333ft,2013,2801.0,3057.0
333ft,2014,2514.0,3141.0
333ft,2015,2057.0,2841.0
333ft,2016,2183.0,2816.0
333ft,2017,2453.0,2684.0
333ft,2018,1696.0,2222.0
333ft,2019,1556.0,1990.0
333mbf,2007,930287800.0,
333mbf,2008,890264900.0,
333mbf,2009,840312100.0,
333mbf,2010,830341400.0,
333mbf,2011,780346802.0,
333mbf,2012,760318103.0,
333mbf,2013,580325400.0,
333mbf,2014,680331902.0,
333mbf,2015,630345304.0,
333mbf,2016,680340402.0,
333mbf,2017,630355102.0,
333mbf,2018,510358800.0,
333mbf,2019,410358601.0,
333mbf,2020,580354205.0,
333mbf,2021,670352502.0,
333mbo,2005,1960404816.0,
333mbo,2006,940360000.0,
333mbo,2007,930287800.0,
333mbo,2008,750815700.0,
333mbo,2009,832179317.0,
333oh,2003,4498.0,
333oh,2004,2595.0,3925.0
333oh,2005,2205.0,2673.0
333oh,2006,2009.0,2403.0
333oh,2007,1581.0,2091.0
333oh,2008,1434.0,1829.0
333oh,2009,1380.0,1690.0
333oh,2010,1119.0,1476.0
333oh,2011,953.0,1357.0
333oh,2012,943.0,1267.0
333oh,2013,905.0,1283.0
333oh,2014,875.0,1172.0
333oh,2015,688.0,1087.0
333oh,2016,755.0,1059.0
333oh,2017,777.0,1021.0
333oh,2018,744.0,942.0
333oh,2019,682.0,950.0
333oh,2020,740.0,968.0
333oh,2021,771.0,994.0
444,2003,8016.0,9057.0
444,2004,6911.0,7554.0
444,2005,5413.0,6463.0
444,2006,5116.0,5921.0
444,2007,4663.0,5815.0
444,2008,4116.0,4903.0
444,2009,3646.0,4343.0
444,2010,3197.0,3580.0
444,2011,3002.0,3522.0
444,2012,2675.0,2917.0
444,2013,2534.0,3049.0
444,2014,2197.0,2603.0
444,2015,2154.0,2702.0
444,2016,2187.0,2645.0
444,2017,1936.0,2303.0
444,2018,1842.0,2113.0
444,2019,1742.0,2111.0
444,2020,1903.0,2218.0
444,2021,1798.0,2157.0
444bf,2003,135500.0,
444bf,2004,115400.0,
444bf,2005,,
444bf,2006,48490.0,
444bf,2007,38096.0,
444bf,2008,36521.0,
444bf,2009,28619.0,
444bf,2010,28234.0,36939.0
444bf,2011,20611.0,43703.0
444bf,2012,16888.0,19756.0
444bf,2013,15062.0,33397.0
444bf,2014,13865.0,15562.0
444bf,2015,12275.0,26121.0
444bf,2016,10190.0,14831.0
444bf,2017,9466.0,10313.0
444bf,2018,8641.0,9507.0
444bf,2019,6251.0,6876.0
444bf,2020,6846.0,14016.0
444bf,2021,12285.0,78200.0
555,2003,13969.0,17045.0
555,2004,12845.0,14499.0
555,2005,11141.0,12615.0
555,2006,10628.0,11524.0
555,2007,9003.0,9671.0
555,2008,7621.0,8686.0
555,2009,6725.0,7675.0
555,2010,6293.0,6759.0
555,2011,5622.0,5994.0
555,2012,5109.0,5763.0
555,2013,5050.0,5533.0
555,2014,4842.0,5420.0
555,2015,4697.0,5015.0
555,2016,4127.0,4932.0
555,2017,3852.0,4321.0
555,2018,3728.0,4236.0
555,2019,3606.0,3965.0
555,2020,3492.0,4007.0
555,2021,4255.0,4493.0
555bf,2003,,
555bf,2004,927600.0,
555bf,2005,,
555bf,2006,157900.0,
555bf,2007,119500.0,
555bf,2008,92200.0,
555bf,2009,94300.0,
555bf,2010,62500.0,
555bf,2011,58858.0,
555bf,2012,40477.0,
555bf,2013,36641.0,42577.0
555bf,2014,33910.0,119400.0
555bf,2015,30481.0,42100.0
555bf,2016,28206.0,85000.0
555bf,2017,22750.0,25876.0
555bf,2018,18101.0,23471.0
555bf,2019,14162.0,14763.0
555bf,2020,27548.0,76700.0
555bf,2021,28176.0,133300.0
666,2009,13553.0,15200.0
666,2010,13390.0,14892.0
666,2011,11481.0,12213.0
666,2012,10946.0,11513.0
666,2013,10086.0,11130.0
666,2014,10883.0,11654.0
666,2015,9355.0,10383.0
666,2016,9247.0,9785.0
666,2017,8003.0,8779.0
666,2018,7382.0,7710.0
666,2019,7406.0,7763.0
666,2020,6951.0,7590.0
666,2021,7992.0,8759.0
777,2009,22315.0,23771.0
777,2010,20591.0,21363.0
777,2011,19319.0,20510.0
777,2012,16163.0,17685.0
777,2013,16011.0,17209.0
777,2014,15893.0,16803.0
777,2015,14355.0,15014.0
777,2016,14066.0,14255.0
777,2017,12673.0,13404.0
777,2018,10789.0,11163.0
777,2019,10089.0,11010.0
777,2020,10212.0,10657.0
777,2021,11440.0,11931.0
clock,2003,3897.0,
clock,2004,905.0,1078.0
clock,2005,839.0,974.0
clock,2006,898.0,986.0
clock,2007,769.0,860.0
clock,2008,794.0,950.0
clock,2009,693.0,872.0
clock,2010,625.0,753.0
clock,2011,527.0,733.0
clock,2012,568.0,709.0
clock,2013,545.0,679.0
clock,2014,531.0,600.0
clock,2015,373.0,594.0
clock,2016,409.0,533.0
clock,2017,395.0,520.0
clock,2018,340.0,456.0
clock,2019,329.0,438.0
clock,2020,352.0,386.0
clock,2021,367.0,439.0
magic,2003,306.0,
magic,2004,136.0,160.0
magic,2005,114.0,146.0
magic,2006,107.0,115.0
magic,2007,86.0,96.0
magic,2008,84.0,102.0
magic,2009,77.0,87.0
magic,2010,71.0,80.0
magic,2011,69.0,76.0
magic,2012,72.0,84.0
minx,2003,13282.0,
minx,2004,17482.0,
minx,2005,10182.0,
minx,2006,8355.0,8806.0
minx,2007,7259.0,7402.0
minx,2008,6178.0,6770.0
minx,2009,5794.0,6434.0
minx,2010,4753.0,5145.0
minx,2011,4228.0,4990.0
minx,2012,4350.0,4782.0
minx,2013,4325.0,4806.0
minx,2014,3783.0,4289.0
minx,2015,3758.0,4329.0
minx,2016,3317.0,3725.0
minx,2017,2993.0,3515.0
minx,2018,2781.0,3203.0
minx,2019,2722.0,3039.0
minx,2020,2884.0,3248.0
minx,2021,3032.0,3401.0
mmagic,2003,822.0,
mmagic,2004,516.0,
mmagic,2005,279.0,336.0
mmagic,2006,248.0,315.0
mmagic,2007,183.0,196.0
mmagic,2008,172.0,195.0
mmagic,2009,193.0,213.0
mmagic,2010,171.0,213.0
mmagic,2011,168.0,175.0
mmagic,2012,166.0,193.0
pyram,2003,1409.0,
pyram,2005,655.0,1122.0
pyram,2006,418.0,846.0
pyram,2007,422.0,598.0
pyram,2008,283.0,415.0
pyram,2009,322.0,407.0
pyram,2010,265.0,371.0
pyram,2011,193.0,339.0
pyram,2012,161.0,325.0
pyram,2013,136.0,296.0
pyram,2014,178.0,256.0
pyram,2015,132.0,252.0
pyram,2016,137.0,214.0
pyram,2017,128.0,202.0
pyram,2018,91.0,187.0
pyram,2019,97.0,186.0
pyram,2020,110.0,188.0
pyram,2021,122.0,225.0
skewb,2014,181.0,310.0
skewb,2015,110.0,295.0
skewb,2016,159.0,263.0
skewb,2017,122.0,203.0
skewb,2018,111.0,223.0
skewb,2019,93.0,213.0
skewb,2020,102.0,238.0
skewb,2021,149.0,232.0
sq1,2003,4180.0,
sq1,2004,2529.0,3321.0
sq1,2005,2621.0,3484.0
sq1,2006,2365.0,2814.0
sq1,2007,1356.0,1957.0
sq1,2008,1355.0,1662.0
sq1,2009,1096.0,1461.0
sq1,2010,865.0,1237.0
sq1,2011,1011.0,1133.0
sq1,2012,934.0,1131.0
sq1,2013,741.0,1172.0
sq1,2014,696.0,1021.0
sq1,2015,849.0,1101.0
sq1,2016,684.0,933.0
sq1,2017,573.0,804.0
sq1,2018,500.0,673.0
sq1,2019,495.0,654.0
sq1,2020,459.0,667.0
sq1,2021,524.0,634.0
